Statement for account 20-45-18 90311276,Northbridge Trading Limited
Date,Description,Paid In,Paid Out,Balance
04/12/2025,CARD PAYMENT ROYAL MAIL,,344.42,45320.06
12/12/2025,CARD PAYMENT MICROSOFT,,303.51,45016.55
15/12/2025,TFR FROM 30-96-26 41283719,4000.00,,49016.55
23/12/2025,CARD PAYMENT SCREWFIX,,238.44,48778.11
25/12/2025,CARD PAYMENT MICROSOFT,,344.25,48433.86
31/12/2025,CARD PAYMENT MICROSOFT,,353.96,48079.90
06/01/2026,CARD PAYMENT SCREWFIX,,192.94,47886.96
08/01/2026,CARD PAYMENT MICROSOFT,,349.08,47537.88
14/01/2026,CARD PAYMENT ROYAL MAIL,,249.85,47288.03
15/01/2026,CARD PAYMENT SCREWFIX,,244.89,47043.14
15/01/2026,CASH WDL 15JAN,,300.00,46743.14
15/01/2026,TFR FROM 30-96-26 41283719,4000.00,,50743.14
20/01/2026,CARD PAYMENT DHL EXPRESS,,274.57,50468.57
27/01/2026,CARD PAYMENT MICROSOFT,,101.91,50366.66
28/01/2026,CARD PAYMENT DHL EXPRESS,,121.13,50245.53
02/02/2026,CARD PAYMENT MICROSOFT,,414.64,49830.89
03/02/2026,CARD PAYMENT DHL EXPRESS,,264.22,49566.67
04/02/2026,CARD PAYMENT DHL EXPRESS,,234.06,49332.61
05/02/2026,CARD PAYMENT MICROSOFT,,359.19,48973.42
09/02/2026,CARD PAYMENT NORTHGATE VEHICLE HIRE,,154.86,48818.56
10/02/2026,CASH WDL 10FEB,,1500.00,47318.56
11/02/2026,CARD PAYMENT DHL EXPRESS,,466.53,46852.03
13/02/2026,CARD PAYMENT MICROSOFT,,268.34,46583.69
16/02/2026,CASH WDL 16FEB,,3000.00,43583.69
16/02/2026,TFR FROM 30-96-26 41283719,4000.00,,47583.69
17/02/2026,CASH WDL 17FEB,,3000.00,44583.69
20/02/2026,CASH WDL 20FEB,,3000.00,41583.69
24/02/2026,CASH WDL 24FEB,,2000.00,39583.69
27/02/2026,CASH WDL 27FEB,,1500.00,38083.69
02/03/2026,CARD PAYMENT NORTHGATE VEHICLE HIRE,,235.78,37847.91
03/03/2026,CARD PAYMENT DHL EXPRESS,,33.46,37814.45
11/03/2026,CARD PAYMENT AMAZON BUSINESS,,249.14,37565.31
11/03/2026,CASH WDL 11MAR,,150.00,37415.31
13/03/2026,CARD PAYMENT SAGE SOFTWARE,,81.86,37333.45
16/03/2026,CARD PAYMENT AMAZON BUSINESS,,412.60,36920.85
